N_unmapped	764679	764679	764679
N_multimapping	18162	18162	18162
N_noFeature	112513	113190	145127
N_ambiguous	1729	221	1
Gm38527	0	0	0
Gm25431	0	0	0
1700030N03Rik	0	0	0
LOC115489054	0	0	0
Ighmbp2	0	0	0
Mrpl21	45	45	0
Mir6984	0	0	0
Cpt1a	18	18	0
Gm36532	0	0	0
Tesmin	0	0	0
Gal	0	0	0
Ppp6r3	16	16	0
Gm23940	0	0	0
n-TAagc9	0	0	0
Lrp5	7	7	0
Gm36672	0	0	0
Gm36608	0	0	0
1810055G02Rik	4	4	0
Gm36787	1	0	1
Kmt5b	0	0	0
Gm16066	7	0	7
Gm51271	0	0	0
Chka	138	136	2
Tcirg1	16	14	2
Ndufs8	90	90	0
Aldh3b1	13	13	0
Gm42059	0	0	0
Gm29846	0	0	0
Unc93b1	7	7	0
Aldh3b3	0	0	0
Aldh3b2	29	29	0
Gm52386	0	0	0
Acy3	0	0	0
Tbx10	0	0	0
Nudt8	6	6	0
Doc2g	0	0	0
Ndufv1	33	33	0
Gstp1	66	66	0
Gstp2	5	5	0
Gstp3	18	18	0
Gm42060	0	0	0
Cabp2	0	0	0
Cdk2ap2	105	105	0
Pitpnm1	2	11	6
Aip	47	53	9
Tmem134	246	246	0
Cabp4	1	1	0
Gpr152	1	1	0
Coro1b	21	21	0
Ptprcap	1	1	0
Rps6kb2	3	3	0
Carns1	0	0	0
Gm17552	0	0	0
Tbc1d10c	0	0	0
Ppp1ca	29	139	0
Rad9a	0	0	110
Gm30082	0	0	0
LOC102631992	18	15	3
Clcf1	94	94	0
Gm45928	0	0	0
Pold4	0	0	0
Ssh3	10	10	0
Mir6985	0	0	0
Ankrd13d	1	1	0
Grk2	9	9	0
Kdm2a	14	16	1
9430078G10Rik	0	1	2
Rhod	12	12	0
A930001C03Rik	0	0	0
Syt12	0	0	0
2010003K11Rik	0	0	0
Pcx	11	11	0
Lrfn4	1	1	0
Rce1	34	34	0
Mir6986	0	0	0
Gm960	0	0	0
Sptbn2	0	0	0
Gm42061	0	0	0
Gm21992	0	0	0
Rbm4b	34	34	0
Rbm4	0	0	0
Rbm14	4	4	0
Ccs	45	45	0
Ccdc87	0	0	0
Ctsf	9	9	0
Actn3	0	0	0
Zdhhc24	0	0	0
Bbs1	0	0	0
Dpp3	5	4	1
Peli3	1	1	0
Mrpl11	54	54	0
Npas4	1	1	0
Slc29a2	2	0	2
Gm30581	0	0	0
n-TSgct6	0	0	0
B4gat1	14	14	0
Brms1	24	24	0
Rin1	5	5	0
Cd248	34	34	0
Tmem151a	3	0	3
Yif1a	12	12	0
Cnih2	0	0	0
Rab1b	26	26	0
Klc2	0	0	0
LOC115489018	0	0	0
Gm30840	0	0	0
Pacs1	6	6	0
Sf3b2	89	89	0
Gal3st3	0	0	0
Gm42064	0	0	0
Catsper1	0	0	0
Cst6	0	0	0
Banf1	42	42	0
Eif1ad	23	23	0
Sart1	32	32	0
D330050I16Rik	12	10	2
Tsga10ip	0	0	0
4930481A15Rik	75	1	79
Drap1	111	115	1
AI837181	17	17	0
Fosl1	3	161	0
Ccdc85b	41	23	176
Fibp	21	21	0
Ctsw	0	0	0
Efemp2	52	52	0
Mus81	12	12	0
Cfl1	231	229	2
Snx32	0	0	0
1700020D05Rik	0	0	0
Ovol1	10	10	0
Ap5b1	0	0	0
Rnaseh2c	20	20	0
Kat5	11	11	0
Rela	65	65	0
Sipa1	6	6	0
Pcnx3	14	14	0
Mir6987	0	0	0
Map3k11	1	1	0
Kcnk7	0	0	2
Ehbp1l1	5	7	0
Fam89b	4	4	0
Znrd2	8	8	0
Ltbp3	7	15	2
Scyl1	9	9	10
Malat1	8977	8976	1
Mascrna	0	0	0
Neat1	451	344	107
Frmd8	9	9	0
Slc25a45	0	0	0
Tigd3	0	0	0
Dpf2	10	10	0
Gm42067	0	0	0
Cdc42ep2	15	15	0
Pola2	10	10	0
Slc22a20	0	0	0
Gm31719	1	1	0
Capn1	52	52	0
Gm10814	1	1	0
Syvn1	0	0	0
Mir6988	0	0	0
Mrpl49	11	11	0
Fau	4446	4438	8
Znhit2	12	11	1
Tm7sf2	2	1	1
Vps51	3	3	0
Tmem262	0	0	0
Zfpl1	23	23	0
Cdca5	0	0	0
Gm550	0	0	0
Naaladl1	0	0	0
Sac3d1	4	4	0
Snx15	8	8	0
LOC115489019	0	0	0
Arl2	50	50	0
Mir12193	0	0	0
Batf2	0	0	0
Majin	0	0	0
Gpha2	0	0	0
Ppp2r5b	2	2	0
Atg2a	7	7	0
Mir194-2	0	0	0
Mir192	0	0	0
Gm14963	0	0	0
Ehd1	13	13	0
Gm52380	5	5	0
Cdc42bpg	1	1	0
Men1	0	0	0
Map4k2	10	10	0
Mir6989	0	0	0
Gm14966	0	0	0
LOC115489080	0	0	0
Sf1	46	46	0
Pygm	0	0	0
Rasgrp2	3	2	1
Gm14965	0	0	0
Nrxn2	0	0	0
Gm52381	1	0	1
Slc22a12	0	0	0
Gm32245	0	0	0
Rps6ka4	1	1	0
Mir5046	0	0	0
Ccdc88b	0	0	0
Prdx5	260	260	0
Trmt112	43	45	2
Esrra	9	10	3
Mir6990	0	0	0
Catsperz	11	11	0
Kcnk4	0	0	0
Gm46646	0	0	0
Gpr137	4	4	0
Bad	33	33	0
Plcb3	12	12	0
Gm52400	0	0	0
Ppp1r14b	110	110	0
LOC114841036	0	0	0
Fkbp2	0	0	0
Vegfb	16	15	1
Dnajc4	21	21	0
Gm35838	0	0	0
Nudt22	9	9	0
Trpt1	3	3	10
Fermt3	0	10	0
Stip1	21	21	0
Macrod1	8	8	0
5730409K12Rik	0	0	0
Flrt1	0	0	0
Gm38621	0	0	0
Otub1	30	28	2
Cox8a	597	597	0
Naa40	1	1	0
Gm22113	0	0	0
Rcor2	0	0	0
Mark2	66	66	0
Gm17227	0	0	0
Spindoc	20	16	4
1700105P06Rik	0	0	0
2700081O15Rik	1	1	0
Mir6991	0	0	0
Rtn3	15	14	1
Gm52401	0	0	0
Atl3	25	25	0
Plaat3	49	47	2
Lgals12	0	0	0
Plaat5	4	4	0
Slc22a19	0	0	0
Slc22a26	0	0	0
Slc22a27	0	0	0
Slc22a28	0	0	0
Slc22a29	0	0	0
Gm41804	0	0	0
Slc22a30	0	0	0
LOC115489093	0	0	0
Slc22a8	0	0	0
Gm36394	0	0	0
Slc22a6	0	0	0
9830166K06Rik	0	0	0
Chrm1	3	0	3
Slc3a2	184	179	5
Snhg1	52	52	0
LOC115489078	0	0	0
LOC115489084	0	0	0
LOC115489083	0	0	0
LOC115489082	0	0	0
LOC115489081	0	0	0
LOC115489086	0	0	0
LOC115489087	0	0	0
Snord22	0	0	0
Wdr74	9	9	0
1700092M07Rik	0	0	0
Stx5a	17	17	0
Mir6992	0	0	0
1700023D09Rik	3	3	0
Nxf1	29	29	0
Tmem223	45	45	0
Tmem179b	34	34	0
Taf6l	0	1	0
Gm2518	50	49	2
Polr2g	29	29	0
Zbtb3	0	0	0
Ttc9c	19	19	0
Hnrnpul2	15	15	0
Gng3	0	0	0
Bscl2	32	31	1
Lrrn4cl	12	11	1
Ubxn1	217	216	1
Uqcc3	50	50	0
Lbhd1	0	0	0
5730408K05Rik	0	0	0
Snora57	0	0	0
Mir5136	0	0	0
1810009A15Rik	0	0	0
Ints5	0	0	0
Ganab	18	18	0
Gm36629	0	0	0
B3gat3	36	36	0
Rom1	0	0	0
Eml3	0	1	0
Gm10353	0	0	1
Mta2	54	54	0
Tut1	16	8	8
Eef1g	905	904	1
Ahnak	165	164	1
Scgb1a1	0	0	0
Gm41805	0	0	0
Asrgl1	0	0	0
Gm38656	0	0	0
Gm9750	0	0	0
Stxbp3-ps	17	17	0
Scgb2a2	0	0	0
Incenp	5	5	0
Gm50340	7	7	0
Gm36913	0	0	0
Gm41806	0	0	0
Fth1	4259	4259	0
Best1	0	0	0
Rab3il1	1	1	0
Fads3	0	0	0
